artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"LABILLE-GUIARD, Adélaide",(1749-1803),Rococo,painter,https://www.wga.hu/html/l/labille/index.html,Paris,French,1749,1803,Adélaide Labille-Guiard
"LABROUSTE, Henri",(1801-1875),Realism,architect,https://www.wga.hu/html/l/labroust/index.html,Paris,French,1801,1875,Henri Labrouste
"LABRUZZI, Carlo",(1748-1817),Neoclassicism,graphic,https://www.wga.hu/html/l/labruzzi/index.html,Italy,Italian,1748,1817,Carlo Labruzzi
"LACROIX, Charles-François",(c. 1700-1782),Baroque,painter,https://www.wga.hu/html/l/lacroix/index.html,Rome,French,1700,1782,Charles-François Lacroix
"LAEMEN, Christoffel Jacobsz van der",(c. 1606-1651),Baroque,painter,https://www.wga.hu/html/l/laemen/index.html,Antwerp,Flemish,1606,1651,Christoffel Jacobsz van der Laemen
"LAER, Pieter van",(1592/95-1642),Baroque,painter,https://www.wga.hu/html/l/laer/index.html,Rome,Dutch,1592,1642,Pieter van Laer
"LAFRENSEN, Niclas the Younger",(1737-1807),Rococo,painter,https://www.wga.hu/html/l/lafrense/index.html,Stockholm,Swedish,1737,1807,Niclas the Younger Lafrensen
"LAFRERI, Antonio",(c. 1512-1577),High Renaissance,graphic,https://www.wga.hu/html/l/lafreri/index.html,Rome,French,1512,1577,Antonio Lafreri
"LAGNIET, Jacques",(1620–1672),Baroque,graphic,https://www.wga.hu/html/l/lagniet/index.html,Paris,French,1620,1672,Jacques Lagniet
"LAGRENÉE, Jean-Jacques",(1739-1821),Rococo,painter,https://www.wga.hu/html/l/lagrenee/jean/index.html,France,French,1739,1821,Jean-Jacques Lagrenée
"LAGRENÉE, Louis-Jean-François",(1724-1805),Rococo,painter,https://www.wga.hu/html/l/lagrenee/louis/index.html,France,French,1724,1805,Louis-Jean-François Lagrenée
"LAIRESSE, Gérard de",(1641-1711),Baroque,painter,https://www.wga.hu/html/l/lairesse/index.html,TheHague,Dutch,1641,1711,Gérard de Lairesse
"LAJOUE, Jacques de",(1686-1761),Baroque,painter,https://www.wga.hu/html/l/lajoue/index.html,Paris,French,1686,1761,Jacques de Lajoue
"LALIQUE, René",(1860-1945),Art Nouveau,goldsmith,https://www.wga.hu/html/l/lalique/index.html,Paris,French,1860,1945,René Lalique
"LALLEMAND, Jean-Baptiste",(1716-1803),Baroque,painter,https://www.wga.hu/html/l/lallema/index.html,France,French,1716,1803,Jean-Baptiste Lallemand
"LALLEMANT, Georges",(1575/76-1636),Baroque,painter,https://www.wga.hu/html/l/lalleman/index.html,France,French,1575,1636,Georges Lallemant
"LAMA, Giulia",(1681-1747),Baroque,painter,https://www.wga.hu/html/l/lama/index.html,Venice,Italian,1681,1747,Giulia Lama
"LAMBERT, George",(c. 1700-1765),Baroque,painter,https://www.wga.hu/html/l/lambert/index.html,London,English,1700,1765,George Lambert
"LAMBERTI, Niccolò di Piero",(1370-1451),Early Renaissance,sculptor,https://www.wga.hu/html/l/lamberti/niccolo/index.html,Florence,Italian,1370,1451,Niccolò di Piero Lamberti
"LAMBERTI, Piero di Niccolò",(c. 1393-1435),Early Renaissance,sculptor,https://www.wga.hu/html/l/lamberti/piero/index.html,Venice,Italian,1393,1435,Piero di Niccolò Lamberti
"LAMI, Eugène Louis",(1800-1890),Romanticism,painter,https://www.wga.hu/html/l/lami/index.html,Paris,French,1800,1890,Eugène Louis Lami
"LAMOUR, Jean",(1698-1771),Baroque,goldsmith,https://www.wga.hu/html/l/lamour/index.html,Nancy,French,1698,1771,Jean Lamour
"LAMPI, Johann Baptist I",(1751-1830),Rococo,painter,https://www.wga.hu/html/l/lampi/father/index.html,Austria,Austrian,1751,1830,Johann Baptist I Lampi
"LAMPI, Johann Baptist II",(1775-1837),Neoclassicism,painter,https://www.wga.hu/html/l/lampi/son/index.html,Austria,Austrian,1775,1837,Johann Baptist II Lampi
"LAMPSONIUS, Dominicus",(1532-1599),Mannerism,graphic,https://www.wga.hu/html/l/lampsoni/index.html,Flanders,Flemish,1532,1599,Dominicus Lampsonius
"LANCERAY, Evgeni Alexandrovich",(1848-1886),Realism,sculptor,https://www.wga.hu/html/l/lanceray/index.html,Russia,Russian,1848,1886,Evgeni Alexandrovich Lanceray
"LANCRET, Nicolas",(1690-1743),Baroque,painter,https://www.wga.hu/html/l/lancret/index.html,France,French,1690,1743,Nicolas Lancret
"LANDI, Gaspare",(1756-1830),Neoclassicism,painter,https://www.wga.hu/html/l/landi/index.html,Italy,Italian,1756,1830,Gaspare Landi
"LANDINI, Taddeo",(c. 1550-1596),Mannerism,sculptor,https://www.wga.hu/html/l/landini/index.html,Italy,Italian,1550,1596,Taddeo Landini
"LANDON, Charles Paul",(1760-1826),Rococo,painter,https://www.wga.hu/html/l/landon/index.html,Paris,French,1760,1826,Charles Paul Landon
"LANDSEER, Charles",(1799-1879),Romanticism,painter,https://www.wga.hu/html/l/landseer/charles/index.html,London,English,1799,1879,Charles Landseer
"LANDSEER, Sir Edwin Henry",(1802-1873),Romanticism,painter,https://www.wga.hu/html/l/landseer/edwin/index.html,London,English,1802,1873,Sir Edwin Henry Landseer
"LANDSEER, Thomas",(1795-1880),Romanticism,graphic,https://www.wga.hu/html/l/landseer/thomas/index.html,London,English,1795,1880,Thomas Landseer
"LANE, Fitz Hugh",(1804-1865),Realism,painter,https://www.wga.hu/html/l/lane/index.html,United States,American,1804,1865,Fitz Hugh Lane
"LANEN, Jasper van der",(c. 1585-after 1626),Baroque,painter,https://www.wga.hu/html/l/lanen/index.html,Antwerp,Flemish,1585,1626,Jasper van der Lanen
"LANEUVILLE, Jean-Louis",(1748-1826),Neoclassicism,painter,https://www.wga.hu/html/l/laneuvil/index.html,Paris,French,1748,1826,Jean-Louis Laneuville
"LANFRANCO, Giovanni",(1582-1647),Baroque,painter,https://www.wga.hu/html/l/lanfranc/index.html,Rome,Italian,1582,1647,Giovanni Lanfranco
"LANGETTI, Giovanni Battista",(1635-1676),Baroque,painter,https://www.wga.hu/html/l/langetti/index.html,Venice,Italian,1635,1676,Giovanni Battista Langetti
"LANGHANS, Carl Gotthard",(1732-1808),Neoclassicism,architect,https://www.wga.hu/html/l/langhans/index.html,Germany,German,1732,1808,Carl Gotthard Langhans
"LANGLOIS, Jérôme-Martin",(1779-1838),Neoclassicism,painter,https://www.wga.hu/html/l/langlois/index.html,Paris,French,1779,1838,Jérôme-Martin Langlois
"LANGREN, Hendrik Floris van",(c. 1574-1648),Baroque,graphic,https://www.wga.hu/html/l/langren/index.html,Amsterdam,Dutch,1574,1648,Hendrik Floris van Langren
"LANINO, Bernardino",(c. 1512-after 1581),High Renaissance,painter,https://www.wga.hu/html/l/lanino/bernardi/index.html,Vercelli,Italian,1512,1581,Bernardino Lanino
"LANINO, Girolamo",(c. 1555-1589),Mannerism,painter,https://www.wga.hu/html/l/lanino/girolamo/index.html,Vercelli,Italian,1555,1589,Girolamo Lanino
"LAPINI, Cesare",(1848-after 1893),Realism,sculptor,https://www.wga.hu/html/l/lapini/index.html,Florence,Italian,1848,1893,Cesare Lapini
"LAPITO, Louis-Auguste",(1803-1874),Realism,painter,https://www.wga.hu/html/l/lapito/index.html,France,French,1803,1874,Louis-Auguste Lapito
"LAPORTE, George Henry",(1799-1873),Romanticism,painter,https://www.wga.hu/html/l/laporte/index.html,London,German,1799,1873,George Henry Laporte
"LARCHE, Raoul-François",(1860-1912),Art Nouveau,sculptor,https://www.wga.hu/html/l/larche/index.html,Paris,French,1860,1912,Raoul-François Larche
"LARCIANI, Giovanni di Lorenzo",(1484-1527),High Renaissance,painter,https://www.wga.hu/html/l/larciani/index.html,Florence,Italian,1484,1527,Giovanni di Lorenzo Larciani
"LARGILLIÈRE, Nicolas de",(1656-1746),Baroque,painter,https://www.wga.hu/html/l/largilli/index.html,France,French,1656,1746,Nicolas de Largillière
"LASCARIS, Giorgio",(before 1496-1531),High Renaissance,sculptor,https://www.wga.hu/html/l/lascaris/index.html,Italy,Italian,1496,1531,Giorgio Lascaris
"LASINIO, Carlo",(1759-1838),Romanticism,graphic,https://www.wga.hu/html/l/lasinio/carlo/index.html,Pisa,Italian,1759,1838,Carlo Lasinio
"LASINIO, Giovanni Paolo",(c. 1789-1855),Romanticism,graphic,https://www.wga.hu/html/l/lasinio/giovanni/index.html,Florence,Italian,1789,1855,Giovanni Paolo Lasinio
"LASSALLE-BORDES, Gustave",(1814-1886),Romanticism,painter,https://www.wga.hu/html/l/lassalle/index.html,Paris,French,1814,1886,Gustave Lassalle-Bordes
"LASSURANCE, Pierre, I",(1655-1724),Baroque,architect,https://www.wga.hu/html/l/lassuran/index.html,France,French,1655,1724,"Pierre, I Lassurance"
"LASTMAN, Pieter Pietersz.",(1583-1633),Baroque,painter,https://www.wga.hu/html/l/lastman/index.html,Amsterdam,Dutch,1583,1633,Pieter Pietersz. Lastman
"LATROBE, Benjamin Henry",(1764-1820),Neoclassicism,architect,https://www.wga.hu/html/l/latrobe/index.html,United States,American,1764,1820,Benjamin Henry Latrobe
"LAUNAY, Nicolas de",(1739-1792),Rococo,graphic,https://www.wga.hu/html/l/launay/index.html,Paris,French,1739,1792,Nicolas de Launay
"LAURANA, Francesco",(c. 1430-1502),Early Renaissance,sculptor,https://www.wga.hu/html/l/laurana/index.html,Italy,Italian,1430,1502,Francesco Laurana
"LAURANA, Luciano",(c. 1420-1479),Early Renaissance,architect,https://www.wga.hu/html/l/lauranal/index.html,Italy,Italian,1420,1479,Luciano Laurana
"LAURENS, Jean-Paul",(1838-1921),Realism,painter,https://www.wga.hu/html/l/laurens/index.html,Paris,French,1838,1921,Jean-Paul Laurens
"LAURETI, Tommaso",(c. 1530-1602),Mannerism,painter,https://www.wga.hu/html/l/laureti/index.html,Italy,Italian,1530,1602,Tommaso Laureti
"LAURI, Filippo",(1623-1694),Baroque,painter,https://www.wga.hu/html/l/lauri/index.html,Rome,Italian,1623,1694,Filippo Lauri
"LAURI, Pietro",(doc. 1634-1669),Baroque,painter,https://www.wga.hu/html/l/lauri_p/index.html,Bologna,French,1634,1669,Pietro Lauri
"LAUTENSACK, Hanns",(c. 1520-c. 1565),Mannerism,graphic,https://www.wga.hu/html/l/lautensa/index.html,Germany,German,1520,1565,Hanns Lautensack
LAUTIZIO DI MEO DE ROTELLI,(active 1511-1527),High Renaissance,goldsmith,https://www.wga.hu/html/l/lautizio/index.html,Italy,Italian,1511,1527,LAUTIZIO DI MEO DE ROTELLI
"LAVES, Georg Ludwig Friedrich",(1788-1864),Neoclassicism,architect,https://www.wga.hu/html/l/laves/index.html,Hanover,German,1788,1864,Georg Ludwig Friedrich Laves
"LAVIRON, Pierre",(1605-1685),Baroque,sculptor,https://www.wga.hu/html/l/laviron/index.html,Paris,French,1605,1685,Pierre Laviron
"LAVIROTTE, Jules Aimé",(1864-1924),Art Nouveau,architect,https://www.wga.hu/html/l/lavirott/index.html,Paris,French,1864,1924,Jules Aimé Lavirotte
"LAWRENCE, Sir Thomas",(1769-1830),Neoclassicism,painter,https://www.wga.hu/html/l/lawrence/index.html,England,English,1769,1830,Sir Thomas Lawrence
"LAWSON, Ernst",(1873-1939),Impressionism,painter,https://www.wga.hu/html/l/lawson/index.html,NewYork,Other,1873,1939,Ernst Lawson
"LAZZARINI, Gregorio",(1655-1730),Baroque,painter,https://www.wga.hu/html/l/lazzarin/index.html,Venice,Italian,1655,1730,Gregorio Lazzarini
"LE BRETON, Gilles",(c. 1500-c. 1552),Northern Renaissance,architect,https://www.wga.hu/html/l/le_breto/index.html,Fontainebleau,French,1500,1552,Gilles Le Breton
"LE BRUN, Charles",(1619-1690),Baroque,painter,https://www.wga.hu/html/l/le_brun/index.html,Paris,French,1619,1690,Charles Le Brun
"LE CLERC, Sébastien I",(1637-1714),Baroque,graphic,https://www.wga.hu/html/l/le_clerc/index.html,Paris,French,1637,1714,Sébastien I Le Clerc
"LE COMTE, Adolf",(1850-1921),Art Nouveau,potter,https://www.wga.hu/html/l/le_comte/index.html,Delft,Dutch,1850,1921,Adolf Le Comte
"LE DUC, Gabriel",(c. 1623-1696),Baroque,architect,https://www.wga.hu/html/l/le_duc/index.html,Paris,French,1623,1696,Gabriel Le Duc
"LE FORT DU PLESSY, Claude",(active 1707-1757),Baroque,architect,https://www.wga.hu/html/l/le_fort/index.html,Vienna,French,1707,1757,Claude Le Fort Du Plessy
"LE GROS, Pierre the Younger",(1666-1719),Baroque,painter,https://www.wga.hu/html/l/le_gros/index.html,France,French,1666,1719,Pierre the Younger Le Gros
"LE HONGRE, Étienne",(1628-1690),Baroque,sculptor,https://www.wga.hu/html/l/le_hongr/index.html,Paris,French,1628,1690,Étienne Le Hongre
"LE LORRAIN, Louis-Joseph",(1715-1759),Neoclassicism,painter,https://www.wga.hu/html/l/le_lorr/index.html,France,French,1715,1759,Louis-Joseph Le Lorrain
"LE LORRAIN, Robert",(1666-1743),Baroque,sculptor,https://www.wga.hu/html/l/le_lorra/index.html,Paris,French,1666,1743,Robert Le Lorrain
"LE MUET, Pierre",(1591-1669),Baroque,architect,https://www.wga.hu/html/l/le_muet/index.html,Paris,French,1591,1669,Pierre Le Muet
LE NAIN brothers,(1598/1610-1648/77),Baroque,painter,https://www.wga.hu/html/l/le_nain/index.html,France,French,1598,1648,LE NAIN brothers
"LE NÔTRE, André",(1613-1700),Baroque,architect,https://www.wga.hu/html/l/le_notre/index.html,France,French,1613,1700,André Le Nôtre
"LE PAUTRE, Antoine",(1621-1679),Baroque,architect,https://www.wga.hu/html/l/le_pautr/antoine/index.html,Paris,French,1621,1679,Antoine Le Pautre
"LE PAUTRE, Jean",(1618-1682),Baroque,graphic,https://www.wga.hu/html/l/le_pautr/jean/index.html,Paris,French,1618,1682,Jean Le Pautre
"LE PAUTRE, Pierre II",(c. 1659-1744),Baroque,sculptor,https://www.wga.hu/html/l/le_pautr/pierre2/index.html,Paris,French,1659,1744,Pierre II Le Pautre
"LE PRINCE, Jean-Baptiste",(1734-1781),Rococo,painter,https://www.wga.hu/html/l/le_princ/index.html,Paris,French,1734,1781,Jean-Baptiste Le Prince
"LE ROUX, Jacques",(d. 1510),Medieval,architect,https://www.wga.hu/html/l/le_roux/jacques/index.html,Rouen,French,1510,,Jacques Le Roux
"LE ROUX, Roullant",(active 1508-1527),Early Renaissance,architect,https://www.wga.hu/html/l/le_roux/roullant/index.html,Rouen,French,1508,1527,Roullant Le Roux
"LE ROY, Philibert",(d. 1636),Baroque,architect,https://www.wga.hu/html/l/le_roy/index.html,Versailles,French,1636,,Philibert Le Roy
"LE SUEUR, Eustache",(1616/17-1655),Baroque,painter,https://www.wga.hu/html/l/le_sueur/index.html,France,French,1616,1655,Eustache Le Sueur
"LE TAVERNIER, Jean",(active 1434-1460),Northern Renaissance,illuminator,https://www.wga.hu/html/l/le_taver/index.html,Burgundy,Flemish,1434,1460,Jean Le Tavernier
"LE VAU, Louis",(1612-1670),Baroque,architect,https://www.wga.hu/html/l/le_vau/index.html,France,French,1612,1670,Louis Le Vau
"LEAR, Edward",(1812-1888),Realism,painter,https://www.wga.hu/html/l/lear/index.html,England,English,1812,1888,Edward Lear
"LEBARBIER, Jean-Jacques-François",(1738-1826),Neoclassicism,painter,https://www.wga.hu/html/l/lebarbie/index.html,Paris,French,1738,1826,Jean-Jacques-François Lebarbier
"LEBAS, Louis Hippolyte",(1782-1867),Neoclassicism,architect,https://www.wga.hu/html/l/lebas/index.html,Paris,French,1782,1867,Louis Hippolyte Lebas
"LEBEDA, Otakar",(1877-1901),Impressionism,painter,https://www.wga.hu/html/l/lebeda/index.html,Bohemia,Bohemian,1877,1901,Otakar Lebeda
"LEBOURG, Albert-Charles",(1849-1928),Impressionism,painter,https://www.wga.hu/html/l/lebourg/index.html,France,French,1849,1928,Albert-Charles Lebourg
"LECHNER, Johann Baptist",(1758–1809),Rococo,architect,https://www.wga.hu/html/l/lechner/index.html,Munich,German,1758,1809,Johann Baptist Lechner
"LECHTER, Melchior",(1865-1937),Art Nouveau,graphic,https://www.wga.hu/html/l/lechter/index.html,Germany,German,1865,1937,Melchior Lechter
"LECLERC, Jean",(c. 1587-1633),Baroque,painter,https://www.wga.hu/html/l/leclerc/index.html,France,French,1587,1633,Jean Leclerc
"LECOMTE, Félix",(1737-1817),Neoclassicism,sculptor,https://www.wga.hu/html/l/lecomte/index.html,Paris,French,1737,1817,Félix Lecomte
"LECOMTE, Hippolyte",(1781-1857),Romanticism,painter,https://www.wga.hu/html/l/lecomteh/index.html,Paris,French,1781,1857,Hippolyte Lecomte
"LEDERER, Jörg",(c. 1470-c. 1549),Northern Renaissance,sculptor,https://www.wga.hu/html/l/lederer/index.html,UpperSwabia,German,1470,1549,Jörg Lederer
"LEDESMA, Blas de",(doc. 1602-1614),Baroque,painter,https://www.wga.hu/html/l/ledesma/index.html,Granada,Spanish,1602,1614,Blas de Ledesma
"LEDOUX, Claude-Nicolas",(1736-1806),Neoclassicism,architect,https://www.wga.hu/html/l/ledoux/index.html,Paris,French,1736,1806,Claude-Nicolas Ledoux
"LEE, Frederick Richard",(1798-1879),Romanticism,painter,https://www.wga.hu/html/l/lee/index.html,England,English,1798,1879,Frederick Richard Lee
"LEEFDAEL, Willem van",(1632-1668),Baroque,tapestry,https://www.wga.hu/html/l/leefdael/index.html,Brussels,Flemish,1632,1668,Willem van Leefdael
"LEEMANS, Johannes",(1633-1688),Baroque,painter,https://www.wga.hu/html/l/leemans/index.html,TheHague,Dutch,1633,1688,Johannes Leemans
"LEEMPUT, Remigius van",(1607-1675),Baroque,painter,https://www.wga.hu/html/l/leemput/index.html,Flanders,Flemish,1607,1675,Remigius van Leemput
"LEEN, Willem van",(1753-1825),Rococo,painter,https://www.wga.hu/html/l/leen/index.html,Dordrecht,Dutch,1753,1825,Willem van Leen
"LEERMANS, Pieter",(c. 1655-c. 1706),Baroque,painter,https://www.wga.hu/html/l/leermans/index.html,Leiden,Dutch,1655,1706,Pieter Leermans
"LEFEBVRE, Claude",(1637-1675),Baroque,painter,https://www.wga.hu/html/l/lefebvre/index.html,France,French,1637,1675,Claude Lefebvre
"LEFEBVRE, Jules-Joseph",(1834-1911),Realism,painter,https://www.wga.hu/html/l/lefebvrj/index.html,Paris,French,1834,1911,Jules-Joseph Lefebvre
"LEFÈVRE, Robert",(1755-1830),Neoclassicism,painter,https://www.wga.hu/html/l/lefevre/index.html,France,French,1755,1830,Robert Lefèvre
"LEGA, Silvestro",(1826-1895),Realism,painter,https://www.wga.hu/html/l/lega/index.html,Florence,Italian,1826,1895,Silvestro Lega
"LEGEAY, Jean-Laurent",(c. 1710-after 1788),Neoclassicism,architect,https://www.wga.hu/html/l/legeay/index.html,France,French,1710,1788,Jean-Laurent Legeay
"LEGRAND, Etienne-François",(active 1775-1800),Neoclassicism,architect,https://www.wga.hu/html/l/legrand/index.html,Paris,French,1775,1800,Etienne-François Legrand
"LEGROS, Alphonse",(1837-1911),Realism,painter,https://www.wga.hu/html/l/legros/index.html,London,French,1837,1911,Alphonse Legros
"LEHMANN, Henri",(1814-1882),Romanticism,painter,https://www.wga.hu/html/l/lehmann/index.html,France,French,1814,1882,Henri Lehmann
"LEIBL, Wilhelm",(1844-1900),Realism,painter,https://www.wga.hu/html/l/leibl/index.html,Munich,German,1844,1900,Wilhelm Leibl
"LEICHER, Felix Ivo",(1727-1812),Rococo,painter,https://www.wga.hu/html/l/leicher/index.html,Austria,Austrian,1727,1812,Felix Ivo Leicher
"LEICKERT, Charles Henri Joseph",(1816-1907),Realism,painter,https://www.wga.hu/html/l/leickert/index.html,Belgium,Belgian,1816,1907,Charles Henri Joseph Leickert
"LEINBERGER, Hans",(mentioned 1510-1530),Northern Renaissance,sculptor,https://www.wga.hu/html/l/leinberg/index.html,Landshut,German,1510,1530,Hans Leinberger
"LEITCH, William Leighton",(1804-1883),Romanticism,painter,https://www.wga.hu/html/l/leitch/index.html,London,Scottish,1804,1883,William Leighton Leitch
"LELIE, Adriaan de",(1755-1820),Rococo,painter,https://www.wga.hu/html/l/lelie/index.html,Amsterdam,Dutch,1755,1820,Adriaan de Lelie
"LELY, Sir Peter",(1616-1680),Baroque,painter,https://www.wga.hu/html/l/lely/index.html,London,English,1616,1680,Sir Peter Lely
"LEMBERGER, Georg",(1490/95-1540),Northern Renaissance,painter,https://www.wga.hu/html/l/lemberge/index.html,Germany,German,1490,1540,Georg Lemberger
"LEMERCIER, Jacques",(c. 1584-1654),Baroque,architect,https://www.wga.hu/html/l/lemercie/index.html,Paris,French,1584,1654,Jacques Lemercier
"LEMMEN, Georges",(1865-1916),Impressionism,painter,https://www.wga.hu/html/l/lemmen/index.html,Belgium,Belgian,1865,1916,Georges Lemmen
"LEMOINE, Marie-Victoire",(1754-1820),Rococo,painter,https://www.wga.hu/html/l/lemoine/index.html,Paris,French,1754,1820,Marie-Victoire Lemoine
"LEMOINE, Pierre-Antoine",(c. 1605-1665),Baroque,painter,https://www.wga.hu/html/l/lemoine1/index.html,Paris,French,1605,1665,Pierre-Antoine Lemoine
"LEMONNIER, Anicet-Charles-Gabriel",(1743-1824),Neoclassicism,painter,https://www.wga.hu/html/l/lemonnie/index.html,France,French,1743,1824,Anicet-Charles-Gabriel Lemonnier
"LEMOT, François-Frédéric",(1772-1827),Neoclassicism,sculptor,https://www.wga.hu/html/l/lemot/index.html,France,French,1772,1827,François-Frédéric Lemot
"LEMOYNE, François",(1688-1737),Baroque,painter,https://www.wga.hu/html/l/lemoyne1/index.html,France,French,1688,1737,François Lemoyne
"LEMOYNE, Jean-Baptiste I",(1679-1731),Baroque,sculptor,https://www.wga.hu/html/l/lemoyne/jeanbap/index.html,Paris,French,1679,1731,Jean-Baptiste I Lemoyne
"LEMOYNE, Jean-Baptiste II",(1704-1778),Baroque,sculptor,https://www.wga.hu/html/l/lemoyne/jeanbapt/index.html,Paris,French,1704,1778,Jean-Baptiste II Lemoyne
"LEMOYNE, Jean-Louis",(1665-1755),Baroque,sculptor,https://www.wga.hu/html/l/lemoyne/jeanloui/index.html,Paris,French,1665,1755,Jean-Louis Lemoyne
"LENBACH, Franz von",(1836-1904),Realism,painter,https://www.wga.hu/html/l/lenbach/index.html,Munich,German,1836,1904,Franz von Lenbach
"LENNÉ, Peter Joseph",(1789-1866),Romanticism,architect,https://www.wga.hu/html/l/lenne/index.html,Potsdam,German,1789,1866,Peter Joseph Lenné
"LENS, Andries Cornelis",(1739-1822),Rococo,painter,https://www.wga.hu/html/l/lens/index.html,Flanders,Flemish,1739,1822,Andries Cornelis Lens
"LENTINI, Riccardo da",(active 1201-1250),Medieval,architect,https://www.wga.hu/html/l/lentini/index.html,Sicily,Italian,1201,1250,Riccardo da Lentini
LEONARDO DA PISTOIA,(c. 1483-after 1518),High Renaissance,painter,https://www.wga.hu/html/l/leonardp/index.html,Pistoia,Italian,1483,1518,LEONARDO DA PISTOIA
LEONARDO DI BERNARDINO DEL SIGNORACCIO,(bapt. 1491),High Renaissance,painter,https://www.wga.hu/html/l/leonar/index.html,Pistoia,Italian,1491,,LEONARDO DI BERNARDINO DEL SIGNORACCIO
LEONARDO DI SER GIOVANNI,(active 1358–1371),Medieval,goldsmith,https://www.wga.hu/html/l/leonard/index.html,Florence,Italian,1358,1371,LEONARDO DI SER GIOVANNI
LEONARDO da Vinci,(1452-1519),Early Renaissance,painter,https://www.wga.hu/html/l/leonardo/index.html,Italy,Italian,1452,1519,LEONARDO da Vinci
"LEONBRUNO, Lorenzo",(1489-c. 1537),High Renaissance,painter,https://www.wga.hu/html/l/leonbrun/index.html,Mantua,Italian,1489,1537,Lorenzo Leonbruno
"LEONI, James",(c. 1686-1746),Baroque,architect,https://www.wga.hu/html/l/leoni_j/index.html,England,English,1686,1746,James Leoni
"LEONI, Leone",(1509-1590),Mannerism,sculptor,https://www.wga.hu/html/l/leoni/leone/index.html,Italy,Italian,1509,1590,Leone Leoni
"LEONI, Ottavio",(1578-1630),Baroque,painter,https://www.wga.hu/html/l/leoni_o/index.html,Rome,Italian,1578,1630,Ottavio Leoni
"LEONI, Pompeo",(1533-1608),Mannerism,painter,https://www.wga.hu/html/l/leoni/pompeo/index.html,Spain,Italian,1533,1608,Pompeo Leoni
"LEOPARDI, Alessandro",(active 1482-1522),Early Renaissance,sculptor,https://www.wga.hu/html/l/leopardi/index.html,Venice,Italian,1482,1522,Alessandro Leopardi
"LEPRINCE, Auguste-Xavier",(1799-1826),Romanticism,painter,https://www.wga.hu/html/l/leprince/index.html,France,French,1799,1826,Auguste-Xavier Leprince
"LEQUEU, Jean-Jacques",(1757-c. 1826),Neoclassicism,architect,https://www.wga.hu/html/l/lequeu/index.html,Paris,French,1757,1826,Jean-Jacques Lequeu
"LERAMBERT, Louis II",(1620-1670),Baroque,sculptor,https://www.wga.hu/html/l/leramber/index.html,Paris,French,1620,1670,Louis II Lerambert
"LEROLLE, Henry",(1848-1929),Realism,painter,https://www.wga.hu/html/l/lerolle/index.html,Paris,French,1848,1929,Henry Lerolle
"LEROY DE BARDE, Alexandre-Isidore",(1777-1828),Neoclassicism,painter,https://www.wga.hu/html/l/leroy/index.html,London,French,1777,1828,Alexandre-Isidore Leroy De Barde
"LESCOT, Pierre",(c. 1510-1578),High Renaissance,architect,https://www.wga.hu/html/l/lescot/index.html,Paris,French,1510,1578,Pierre Lescot
"LESPINGOLA, François",(1644-1705),Baroque,sculptor,https://www.wga.hu/html/l/lespingo/index.html,France,French,1644,1705,François Lespingola
"LESSING, Karl Friedrich",(1808-1880),Romanticism,painter,https://www.wga.hu/html/l/lessing/index.html,Germany,German,1808,1880,Karl Friedrich Lessing
"LETHIÈRE, Guillaume",(1760-1832),Neoclassicism,painter,https://www.wga.hu/html/l/lethiere/index.html,France,French,1760,1832,Guillaume Lethière
"LEU, Hans the Younger",(c.1490-1531),High Renaissance,painter,https://www.wga.hu/html/l/leu/index.html,Zurich,Swiss,1490,1531,Hans the Younger Leu
"LEUTZE, Emanuel Gottlieb",(1816-1868),Romanticism,painter,https://www.wga.hu/html/l/leutze/index.html,United States,American,1816,1868,Emanuel Gottlieb Leutze
"LEVECQ, Jacobus",(1634-1675),Baroque,painter,https://www.wga.hu/html/l/levecq/index.html,Dordrecht,Dutch,1634,1675,Jacobus Levecq
"LEVITAN, Isaak Ilyich",(1860-1900),Impressionism,painter,https://www.wga.hu/html/l/levitan/index.html,Russia,Russian,1860,1900,Isaak Ilyich Levitan
"LEVITSKY, Dmitry Grigorevich",(1735-1822),Rococo,painter,https://www.wga.hu/html/l/levitsky/index.html,Russia,Russian,1735,1822,Dmitry Grigorevich Levitsky
"LEVY, Vaclav",(1820-1870),Romanticism,sculptor,https://www.wga.hu/html/l/levy/index.html,Bohemia,Bohemian,1820,1870,Vaclav Levy
"LEYDEN, Aertgen van",(1498-1564),Northern Renaissance,painter,https://www.wga.hu/html/l/leyden_a/index.html,Leiden,Netherlandish,1498,1564,Aertgen van Leyden
"LEYDEN, Lucas van",(1494-1533),Northern Renaissance,painter,https://www.wga.hu/html/l/leyden/index.html,Leiden,Netherlandish,1494,1533,Lucas van Leyden
"LEYGEBE, Paul Carl",(1664-1756),Baroque,painter,https://www.wga.hu/html/l/leygebe/index.html,Berlin,German,1664,1756,Paul Carl Leygebe
"LEYNIERS, Everaert",(1597-1680),Baroque,tapestry,https://www.wga.hu/html/l/leyniers/everaert/index.html,Brussels,Flemish,1597,1680,Everaert Leyniers
"LEYNIERS, Urbanus",(1674-1747),Rococo,tapestry,https://www.wga.hu/html/l/leyniers/urbanus/index.html,Brussels,Flemish,1674,1747,Urbanus Leyniers
"LEYS, Henri",(1815-1869),Realism,painter,https://www.wga.hu/html/l/leys/index.html,Belgium,Belgian,1815,1869,Henri Leys
