artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"BULGARINI, Bartolommeo",(active 1337-1378),Medieval,painter,https://www.wga.hu/html/b/bulgarin/index.html,Siena,Italian,1337,1378,Bartolommeo Bulgarini
"BULLANT, Jean",(c. 1515-1578),Mannerism,architect,https://www.wga.hu/html/b/bullant/index.html,France,French,1515,1578,Jean Bullant
"BULLET, Pierre",(1639-1716),Baroque,architect,https://www.wga.hu/html/b/bullet/index.html,Paris,French,1639,1716,Pierre Bullet
"BUNDEL, Willem van den",(c. 1577-1655),Baroque,painter,https://www.wga.hu/html/b/bundel/index.html,Delft,Flemish,1577,1655,Willem van den Bundel
"BUNKER, Dennis Miller",(1861-1890),Impressionism,painter,https://www.wga.hu/html/b/bunker/index.html,Boston,American,1861,1890,Dennis Miller Bunker
"BUONCONSIGLIO, Giovanni",(c. 1465-c. 1535),Early Renaissance,painter,https://www.wga.hu/html/b/buoncons/index.html,Venice,Italian,1465,1535,Giovanni Buonconsiglio
"BUONSIGNORI, Stefano",(d. 1589),Mannerism,graphic,https://www.wga.hu/html/b/buonsign/index.html,Florence,Italian,1589,,Stefano Buonsignori
"BUONTALENTI, Bernardo",(c. 1531-1608),Mannerism,architect,https://www.wga.hu/html/b/buontale/index.html,Florence,Italian,1531,1608,Bernardo Buontalenti
"BUORA, Giovanni di Antonio",(c. 1450-1513),Early Renaissance,architect,https://www.wga.hu/html/b/buora/index.html,Venice,Italian,1450,1513,Giovanni di Antonio Buora
"BURCH, Cornelis Jansz. van der Burch",(active 1579-1614),Baroque,goldsmith,https://www.wga.hu/html/b/burch_c/index.html,Delft,Dutch,1579,1614,Cornelis Jansz. van der Burch Burch
"BURCH, Hendrick van der",(1627-c. 1666),Baroque,painter,https://www.wga.hu/html/b/burch/index.html,Delft,Dutch,1627,1666,Hendrick van der Burch
"BURG, Adriaan van der",(1693-1733),Baroque,painter,https://www.wga.hu/html/b/burg/index.html,Dordrecht,Dutch,1693,1733,Adriaan van der Burg
"BURGHAUSEN, Hans von",(c. 1355-1432),Medieval,architect,https://www.wga.hu/html/b/burghaus/index.html,Germany,German,1355,1432,Hans von Burghausen
"BURGKMAIR, Hans",(1473-1531),Northern Renaissance,painter,https://www.wga.hu/html/b/burgkmai/index.html,Augsburg,German,1473,1531,Hans Burgkmair
"BURGOS, Juan de",(active 1450s),Early Renaissance,painter,https://www.wga.hu/html/b/burgos/index.html,León,Spanish,1450,,Juan de Burgos
"BURLAMACCHI, Eufrasia",(c. 1482-1548),Early Renaissance,illuminator,https://www.wga.hu/html/b/burlamac/index.html,Lucca,Italian,1482,1548,Eufrasia Burlamacchi
"BURNE-JONES, Edward",(1833-1898),Romanticism,painter,https://www.wga.hu/html/b/burnejon/index.html,England,English,1833,1898,Edward Burne-Jones
"BURTON, Decimus",(1800-1881),Neoclassicism,architect,https://www.wga.hu/html/b/burton/index.html,London,English,1800,1881,Decimus Burton
"BURY, Friedrich",(1761-1823),Neoclassicism,painter,https://www.wga.hu/html/b/bury/index.html,Germany,German,1761,1823,Friedrich Bury
"BUSCH, Johann Joachim",(1720-1802),Neoclassicism,architect,https://www.wga.hu/html/b/busch/index.html,Germany,German,1720,1802,Johann Joachim Busch
"BUSHNELL, John",(c. 1630-1701),Baroque,sculptor,https://www.wga.hu/html/b/bushnell/index.html,England,English,1630,1701,John Bushnell
"BUSIRI, Giovanni Battista",(1698-1757),Baroque,painter,https://www.wga.hu/html/b/busiri/index.html,Rome,Italian,1698,1757,Giovanni Battista Busiri
"BUSSI, Santino",(1664-1736),Rococo,sculptor,https://www.wga.hu/html/b/bussi/index.html,Austria,Austrian,1664,1736,Santino Bussi
"BUTI, Lodovico",(c. 1555-1611),Mannerism,painter,https://www.wga.hu/html/b/buti/index.html,Florence,Italian,1555,1611,Lodovico Buti
